question,answer
"What is a singleton?","A singleton ensures only one instance of a class exists."
"What is dependency injection?","Dependency injection provides required components to a script externally."
"What is MVC pattern?","MVC divides code into Model, View, and Controller layers."
"What is event-driven programming?","Event-driven programming reacts to events like input or collisions."
"What is asynchronous programming?","Asynchronous programming runs tasks without blocking the main thread."
"What is coroutine vs thread?","Coroutines run cooperatively inside Unity; threads run independently at OS level."
"What is garbage collection spike?","A GC spike occurs when unused memory is cleared, causing lag."
"What is memory leak?","A memory leak occurs when memory is not released, reducing performance."
"What is addressables?","Addressables manage assets dynamically, improving memory and loading times."
"What is async loading?","Async loading loads assets without freezing gameplay."
"What is scene additive loading?","Additive loading loads multiple scenes simultaneously."
"What is a physics material?","A physics material controls friction and bounciness."
"What is drag in physics?","Drag reduces velocity over time."
"What is angular drag?","Angular drag slows down rotational movement."
"What is mass in Rigidbody?","Mass affects how much force is needed for movement."
"What is force mode?","Force mode controls how AddForce applies force (Impulse, VelocityChange, etc.)."
"What is kinematic motion?","Kinematic motion moves objects without physics simulation."
"What is a hit scan?","Hitscan detects collisions instantly without projectile travel."
"What is projectile motion?","Projectile motion calculates movement using force and gravity."
"What is animation rigging?","Animation rigging provides constraints and advanced animation control."
"What is blend shape?","Blend shapes deform mesh vertices for facial expressions and morphing."
"What is skinning?","Skinning binds mesh vertices to skeleton bones."
"What is weight painting?","Weight painting assigns bone influence over mesh parts."
"What is inverse kinematics?","IK solves bone positions automatically based on a target."
"What is ragdoll physics?","Ragdoll physics simulate realistic character collapse using joints and colliders."
"What is hinge joint?","A hinge joint allows rotation around a single axis."
"What is fixed joint?","A fixed joint locks two objects together."
"What is spring joint?","A spring joint makes objects behave like connected springs."
"What is audio source?","An AudioSource plays 3D or 2D audio clips."
"What is audio listener?","An AudioListener represents the player's ears in the scene."
"What is spatial audio?","Spatial audio simulates 3D sound direction and distance."
"What is reverb zone?","A reverb zone applies audio echo effects in defined areas."
"What is occlusion in audio?","Occlusion muffles sound when objects block its path."
"What is doppler effect?","The Doppler effect changes sound pitch based on movement."
"What is save system?","A save system stores player data for later use."
"What is JSON serialization?","JSON serialization converts data objects into JSON string format."
"What is binary serialization?","Binary serialization saves data in compact binary format."
"What is checkpoint system?","A checkpoint system saves progress at predefined locations."
"What is cutscene timeline?","Unity Timeline creates cinematic sequences with animation and audio tracks."
"What is shader graph?","Shader Graph allows visual shader creation without writing code."
"What is bloom effect?","Bloom enhances bright areas with a soft glow."
"What is FPS counter?","An FPS counter displays the game's frame rate during runtime."
"What is build size optimization?","Build size optimization reduces game file size for distribution."

"What is a tilemap in Unity?","A tilemap is a grid-based system used to create large 2D environments efficiently."
"What is a collider 2D?","A Collider2D is a component used to detect 2D physics collisions."
"What is Rigidbody2D?","Rigidbody2D enables objects to use 2D physics like gravity and forces."
"What is Pixel Perfect Camera?","Pixel Perfect Camera ensures crisp pixel art rendering with no distortion."
"What is a sorting layer?","Sorting layers define 2D render order of sprites."
"What is a pivot point?","A pivot point is the reference origin for translation, rotation, and scaling."
"What is parallax scrolling?","Parallax scrolling creates depth by moving background layers at different speeds."
"What is sprite slicing?","Sprite slicing divides a spritesheet into multiple individual sprites."
"What is a sprite sheet?","A spritesheet is a single image containing multiple animation frames."
"What is 2D animation rigging?","2D animation rigging uses bones to animate 2D characters."
"What is IK for 2D?","IK for 2D enables natural motion by solving limb positions automatically."
"What is tile collision?","Tile collision defines which tiles players can collide with."
"What is a trigger 2D?","A trigger 2D detects overlaps without blocking movement."
"What is Cinemachine?","Cinemachine is Unity's advanced camera system that automates camera behavior."
"What is Virtual Camera?","A virtual camera defines different camera behaviors inside Cinemachine."
"What is damping in Cinemachine?","Damping smooths camera movements and follow behavior."
"What is confiner in Cinemachine?","A confiner limits camera movement within a boundary."
"What is screen shake?","Screen shake is a camera effect used to emphasize explosions or impacts."
"What is camera follow script?","A camera follow script keeps the camera focused on a target object."
"What is orthographic size?","Orthographic size controls zoom level of an orthographic camera."
"What is field of view?","Field of view defines the visible angle of a perspective camera."
"What is animation keyframe?","A keyframe marks a specific position or motion state in animation."
"What is animation curve?","An animation curve defines transitions between keyframes over time."
"What is root motion?","Root motion uses animation movement instead of physics-based motion."
"What is an avatar mask?","An avatar mask controls which body parts animations affect."
"What is retargeting?","Retargeting transfers animations between different character rigs."
"What is timeline in Unity?","Timeline is a sequencer for cutscenes, animation, and audio."
"What is a playable director?","A playable director controls playback of Timeline assets."
"What is a timeline track?","A timeline track controls animations, audio, or scripts."
"What is additive animation?","Additive animation blends extra motion on top of existing animations."
"What is animation event?","An animation event triggers logic at specific points in an animation."
"What is avatar rig?","Avatar rig defines the bone structure for animations."
"What is mecanim?","Mecanim is Unity's animation system for blending and state machines."
"What is ragdoll generator?","A ragdoll generator automatically builds physics-based characters."
"What is cloth simulation?","Cloth simulation creates realistic movement for fabric or hair."
"What is particle collision?","Particle collision detects contact between particles and the world."
"What is particle lifetime?","Particle lifetime defines how long a particle exists before disappearing."
"What is emission rate?","Emission rate controls how many particles spawn over time."
"What is burst emission?","Burst emission generates particles all at once at a specific moment."
"What is GPU particle system?","A GPU particle system uses GPU compute power for massive effects."
"What is sprite mask?","A sprite mask reveals or hides parts of sprites."
"What is 2D light?","2D light adds realistic lighting to 2D scenes with the URP 2D renderer."
"What is shadow caster 2D?","Shadow caster 2D defines shapes that cast shadows in 2D lighting."
"What is normal map?","A normal map adds fake surface detail without adding geometry."
"What is bump map?","A bump map simulates small height variations on textures."
"What is height map?","A height map represents surface elevation for terrain or textures."
"What is emissive material?","An emissive material glows regardless of lighting."
"What is shader keyword?","Shader keywords enable or disable shader features."
"What is post-exposure?","Post-exposure adjusts scene brightness after rendering."
"What is render queue?","Render queue controls the drawing order of materials."
"What is a compute shader?","A compute shader performs parallel calculations on the GPU."
"What is GPU instancing?","GPU instancing optimizes rendering of many identical objects."
"What is occlusion probe?","Occlusion probes help with dynamic object occlusion in baked lighting."
"What is skinned mesh renderer?","It renders animated characters using bone-based deformation."
"What is blend tree?","A blend tree blends multiple animations based on input parameters."
"What is animator override controller?","It allows replacing animations inside an existing controller."
"What is static batching?","Static batching optimizes rendering of non-moving objects."
"What is dynamic batching?","Dynamic batching groups small moving objects for fewer draw calls."
"What is a draw call?","A draw call is a request to the GPU to render an object."
"What is GPU bottleneck?","A GPU bottleneck occurs when the GPU can't process graphics fast enough."
"What is CPU bottleneck?","A CPU bottleneck happens when the CPU cannot process logic fast enough."
"What is baking?","Baking precomputes lighting or effects for performance."
"What is render target?","A render target is a texture the GPU renders into instead of the screen."
"What is alpha clipping?","Alpha clipping removes transparent pixels entirely based on a threshold."
"What is stencil buffer?","The stencil buffer masks parts of the screen for special effects."
"What is z-buffer?","The z-buffer stores depth information to handle object occlusion."
"What is frustum culling?","Frustum culling excludes objects outside the camera's view."
"What is bounding box?","A bounding box is an invisible box used to detect object visibility."
"What is collider bounds?","Collider bounds represent the area covered by a collider."
"What is OnBecameInvisible?","A Unity method triggered when an object goes out of camera view."
"What is OnBecameVisible?","A Unity method triggered when an object becomes visible to the camera."
"What is batching threshold?","A threshold determining if an object can be batched based on size and material."
"What is prefab variant?","A prefab variant inherits from a base prefab with modifications."
"What is addressable asset?","Addressables allow asynchronous loading and unloading of assets."
"What is asset reference?","An asset reference is a link to an addressable asset."
"What is runtime instantiation?","Runtime instantiation creates objects dynamically during gameplay."
"What is pooling manager?","A pooling manager handles reused objects for performance optimization."
"What is event dispatcher?","Event dispatchers send notifications between systems."
"What is UnityEvent?","UnityEvent is a serializable event system inside the Unity inspector."
"What is Invoke()?","Invoke delays the execution of a method by a defined time."
"What is InvokeRepeating()?","InvokeRepeating repeatedly calls a method at intervals."
"What is CancelInvoke()?","CancelInvoke stops scheduled Invoke calls."
"What is SceneManager.LoadScene()","Loads a scene by name or index."
"What is additive scene loading?","Loads a new scene without unloading the current one."
"What is DontDestroyOnLoad()?","Prevents objects from being destroyed when loading a new scene."
"What is persistent data?","Persistent data is stored across gameplay sessions."
"What is PlayerPrefs?","PlayerPrefs is an easy way to save small data like scores or settings."
"What is UI canvas scaler?","Canvas scaler adjusts UI for different screen resolutions."
"What is anchor point in UI?","Anchor points define how UI elements behave when screen size changes."
"What is pivot in UI?","The pivot defines the point UI elements rotate or scale around."
"What is layout group?","A layout group automatically arranges UI elements in rows or columns."
"What is content size fitter?","It adjusts UI size based on its children elements."
"What is scroll rect?","A scroll rect allows scrolling through UI content."
"What is Unity Input System?","Unity's new Input System allows flexible multi-device input handling."
"What is rebinding?","Rebinding changes control buttons or keys during runtime."
"What is virtual joystick?","A virtual joystick simulates analog movement for mobile games."
"What is mobile touch input?","Mobile touch input detects taps, swipes, and gestures on screens."

"What is touch phase?","Touch phase represents different stages of a touch such as Began, Moved, and Ended."
"What is multi-touch?","Multi-touch allows the device to detect more than one touch at the same time."
"What is haptic feedback?","Haptic feedback provides vibration effects to enhance player experience."
"What is gyroscope input?","Gyroscope input reads device rotation and tilt for motion controls."
"What is accelerometer?","An accelerometer measures acceleration forces for motion-based input."
"What is screen DPI?","Screen DPI is the pixel density affecting UI scaling on mobile devices."
"What is aspect ratio?","Aspect ratio is the proportional relationship between screen width and height."
"What is safe area?","Safe area ensures UI elements are not blocked by notches or rounded corners."
"What is render resolution?","Render resolution is the internal resolution the game draws before scaling."
"What is texture compression?","Texture compression reduces texture file size and memory usage."
"What is mipmapping?","Mipmapping uses lower resolution versions of textures for distant objects."
"What is texture tiling?","Texture tiling repeats textures across surfaces."
"What is anisotropic filtering?","Anisotropic filtering improves texture clarity at steep viewing angles."
"What is shadow resolution?","Shadow resolution controls the sharpness and detail level of shadows."
"What is shadow distance?","Shadow distance defines how far shadows are rendered from the camera."
"What is baking shadows?","Baking shadows stores shadow information for static objects."
"What is real-time shadows?","Real-time shadows update dynamically as objects move."
"What is soft shadow?","Soft shadows blend edges to look more natural."
"What is hard shadow?","Hard shadows have sharp edges and are cheaper to render."
"What is SSAO?","SSAO adds ambient shadowing based on surrounding geometry."
"What is screen space reflections?","SSR simulates reflections based on screen-visible pixels."
"What is light probe?","Light probes store indirect lighting information for dynamic objects."
"What is reflection probe?","Reflection probes capture surrounding reflections for shiny materials."
"What is directional light?","Directional light simulates sunlight or moonlight."
"What is point light?","A point light emits light in all directions from a single point."
"What is spot light?","A spot light emits light in a cone shape."
"What is area light?","Area lights provide soft illumination but require specific render pipelines."
"What is ambient lighting?","Ambient lighting provides general light to the entire scene."
"What is light baking?","Light baking precomputes lighting for higher performance."
"What is shader LOD?","Shader LOD determines shader complexity levels based on distance."
"What is GPU skinning?","GPU skinning offloads character animation to the GPU."
"What is instancing?","Instancing draws multiple instances of the same mesh efficiently."
"What is render pass?","A render pass defines an operation performed by the GPU during rendering."
"What is a game asset?","A game asset includes models, textures, audio, scripts, and animations."
"What is asset pipeline?","Asset pipeline defines how assets are imported, processed, and used in a game."
"What is import settings?","Import settings customize how textures, models, and audio are processed."
"What is FBX file?","FBX is a common 3D model format used in game development."
"What is OBJ file?","OBJ is another 3D model format widely supported for meshes."
"What is a mesh?","A mesh is a collection of vertices, edges, and triangles defining a 3D object."
"What is UV unwrap?","UV unwrap maps 3D mesh surfaces to 2D texture coordinates."
"What is vertex?","A vertex is a point in 3D space used to define shapes."
"What is triangle count?","Triangle count measures geometry complexity impacting performance."
"What is normal vector?","A normal vector defines the direction a surface is facing."
"What is smoothing group?","Smoothing groups blend edges to make surfaces appear smooth."
"What is rigging?","Rigging is creating bones and controls for animating characters."
"What is a skeleton rig?","A skeleton rig is the bone structure used for character animation."
"What is retopology?","Retopology creates optimized mesh topology for animation and performance."
"What is blendshape animation?","Blendshape animation modifies vertex positions for facial expressions."
"What is skeletal animation?","Skeletal animation moves characters using bones and joints."
"What is keyframe interpolation?","Interpolation defines motion between keyframes automatically."
"What is animation retargeting?","Retargeting applies animations from one character to another."
"What is vertex painting?","Vertex painting assigns colors or weights directly to vertices."
"What is mesh collider?","Mesh collider uses mesh geometry for accurate collision detection."
"What is convex collider?","Convex collider simplifies shape to improve physics performance."
"What is kinematic character controller?","A controller using physics without being fully simulated."
"What is physics timestep?","Physics timestep defines how often physics updates happen."
"What is penetration resolution?","Resolution of overlapping colliders in physics simulation."
"What is collision layer?","Collision layers control which objects can collide with each other."
"What is physics material 2D?","Physics material 2D adjusts friction and bounciness in 2D physics."
"What is hinge joint 2D?","A hinge joint 2D rotates objects around a specific anchor."
"What is distance joint 2D?","Distance joint 2D keeps two objects at a fixed distance."
"What is spring joint 2D?","A spring joint 2D behaves like a rubber band between objects."
"What is camera culling mask?","Culling mask determines which layers a camera renders."
"What is camera depth?","Camera depth defines render priority between multiple cameras."
"What is camera projection?","Camera projection determines perspective or orthographic rendering."
"What is split screen?","Split screen allows multiple players to see different camera views."
"What is render texture?","A render texture stores camera output as a texture."
"What is screen space UI?","Screen space UI is drawn relative to screen resolution."
"What is world space UI?","World space UI exists inside the 3D world."
"What is health bar system?","A UI system showing the player's HP visually."
"What is stamina system?","A stamina system limits player actions like sprinting."
"What is XP system?","An XP system tracks experience points for leveling up."
"What is inventory slot?","An inventory slot stores an item in UI."
"What is item stacking?","Item stacking groups identical items in one slot."
"What is crafting system?","A crafting system lets players combine items to create new ones."
"What is quest system?","A quest system tracks missions and objectives."
"What is dialogue system?","A dialogue system displays NPC interactions with branching choices."
"What is branching dialogue?","Branching dialogue lets players choose different conversation paths."
"What is navmesh obstacle?","A navmesh obstacle blocks AI navigation dynamically."
"What is AI chase behavior?","Chase behavior makes enemies follow the player when detected."
"What is AI patrol behavior?","Patrol behavior makes enemies follow waypoints repeatedly."
"What is AI detection radius?","Radius where AI senses or reacts to the player."
"What is field of view AI?","AI field of view determines angle of detection."
"What is line of sight check?","A check to ensure nothing blocks visibility between AI and target."
"What is hearing system AI?","AI reacts to sounds based on distance and volume."
"What is stealth system?","Stealth system hides player from AI based on lighting and noise."
"What is cover system?","A cover system lets AI or players hide behind obstacles."
"What is crouch mechanic?","Crouch lowers player height, affecting speed and visibility."
"What is sprint mechanic?","Sprint increases speed temporarily using stamina."
"What is dash mechanic?","Dash performs quick directional movement."
"What is cooldown?","Cooldown limits how often abilities can be used."
"What is knockback?","Knockback pushes characters backward upon impact."
"What is hit reaction animation?","An animation triggered when characters take damage."
"What is respawn point?","Respawn point is location where the player reappears after death."
"What is checkpoint?","A checkpoint saves progress at specific locations."
"What is game over screen?","A UI screen shown when the player loses."
"What is victory screen?","A UI screen shown when the player wins."
"What is HUD element?","HUD elements display critical game information like health or ammo."
"What is crosshair?","A crosshair is a targeting reticle for aiming."
"What is ADS (Aim Down Sights)?","ADS zooms the camera for precise shooting."

"What is recoil in shooting games?","Recoil is the backward kick or camera movement after firing a weapon."
"What is bullet spread?","Bullet spread adds randomness to shooting direction for realism."
"What is projectile trajectory?","Trajectory is the path a projectile follows based on force and gravity."
"What is raycast shooting?","Raycast shooting hits targets instantly without physical bullets."
"What is ballistics?","Ballistics simulate bullet travel, drop, and speed over distance."
"What is hit detection?","Hit detection checks if an attack collides with a target."
